"omics","mediator","a","p_a","q_a","b","p_b","selected_by_screen","selected_by_sis","score","abs_score","joint_p_ab","p_primary","q_primary_within_view","q_primary","p_primary_model_based","q_primary_global"
"species","Clostridia_bacterium|t__SGB15395",-0.619127776214116,0.0622219963368784,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridia_bacterium|t__SGB14136",0.618512128285497,0.0624965270036006,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Ruminococcaceae_bacterium|t__SGB14899",0.618220914836869,0.0626267181693438,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9522_SGB14921|t__SGB14921",0.617265908648219,0.0630551707407558,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospiraceae_bacterium_NSJ_46|t__SGB47656",0.611384535084574,0.0657450109968202,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Lawsonibacter_sp_NSJ_51|t__SGB15131",-0.611322196380185,0.0657739975855128,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridium_sp_AF34_10BH|t__SGB4914",0.608512079338147,0.0670911409612667,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Firmicutes_bacterium|t__SGB49188",-0.606403944080825,0.0680927962468188,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridiaceae_unclassified_SGB4769|t__SGB4769",0.602876231585264,0.0697951716082513,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Bacteroides_congonensis|t__SGB1878",0.599877534004614,0.071268334753603,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Eubacterium_sp_AF15_50|t__SGB5042",0.598593456156352,0.0719065542144002,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB51441_SGB71759|t__SGB71759",0.595430466339059,0.0734977129385297,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB1559_SGB2146|t__SGB2146",0.593365279618042,0.0745513640775735,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Ruminococcaceae_bacterium|t__SGB15249",-0.591121595284523,0.0757094005317137,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Lacrimispora_saccharolytica|t__SGB4701",-0.587954054485554,0.0773680744914784,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Ruminococcaceae_bacterium|t__SGB15349",-0.58784333482268,0.077426559732753,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Harryflintia_acetispora|t__SGB14838",-0.587651851368239,0.0775277878497458,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Faecalibacillus_faecis|t__SGB6750",-0.587305380913144,0.0777112117825544,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Bacteroides_ovatus|t__SGB1871",-0.587088652770521,0.0778261206831369,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridia_bacterium|t__SGB4394",-0.584841223289847,0.079025507826425,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Collinsella_aerofaciens|t__SGB14546_group",0.579942703136915,0.0816894239481152,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridiaceae_bacterium|t__SGB4721",0.577290921525311,0.0831602549629178,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Alistipes_onderdonkii|t__SGB2303",-0.573881188472219,0.0850814993025472,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Blautia_stercoris|t__SGB4788_group",0.572494668637741,0.0858724770882741,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Blautia_sp_AF19_10LB|t__SGB4810",0.572091998020176,0.0861032513296498,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Eubacterium_ventriosum|t__SGB5045",0.571426197802446,0.0864858767523087,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospiraceae_bacterium|t__SGB4905",0.57077697652601,0.0868602358465164,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Streptococcus_parasanguinis|t__SGB8071",0.568813180240482,0.0880002222420492,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Butyricicoccus_sp_AM29_23AC|t__SGB14991",0.568594115671652,0.0881281004098164,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Candidatus_Pararuminococcus_gallinarum|t__SGB63327",-0.565100899159708,0.0901866421522737,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Ruminococcaceae_unclassified_SGB4191|t__SGB4191",0.562912612147048,0.0914948918529886,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9608_SGB15041|t__SGB15041",0.561565007219322,0.0923077631721761,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridiaceae_bacterium_NSJ_31|t__SGB14839",-0.56004518716616,0.0932311471544997,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridium_perfringens|t__SGB6191",0.559747208332197,0.0934130145753027,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Bacteroides_eggerthii|t__SGB1829",0.559689673953713,0.0934481612039226,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Blautia_sp_MSK_21_1|t__SGB4829",0.558437151218126,0.0942158165788628,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
